Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-09-20 16:39:37;"Week B Day 1";"Bench Press (Barbell)";1;115;lbs;4;6;;;0;"";"";17m
2022-09-20 16:39:37;"Week B Day 1";"Bench Press (Barbell)";2;115;lbs;8;8;;;0;;;17m
2022-09-20 16:39:37;"Week B Day 1";"Bench Press (Barbell)";3;115;lbs;7;9;;;0;;;17m
2022-09-20 16:39:37;"Week B Day 1";"Bench Press (Barbell)";4;115;lbs;6;10;;;0;;;17m
2022-09-20 16:39:37;"Week B Day 1";"Deadlift (Barbell)";1;115;lbs;8;;;;0;"";;17m
2022-09-20 16:39:37;"Week B Day 1";"Deadlift (Barbell)";2;115;lbs;8;;;;0;;;17m
2022-09-20 16:39:37;"Week B Day 1";"Deadlift (Barbell)";3;115;lbs;6;;;;0;;;17m
2022-09-20 16:39:37;"Week B Day 1";"Overhead Press (Barbell)";1;70;lbs;4;;;;0;"";;17m
2022-09-20 16:39:37;"Week B Day 1";"Overhead Press (Barbell)";2;70;lbs;4;;;;0;;;17m
2022-09-20 16:39:37;"Week B Day 1";"Overhead Press (Barbell)";3;40;lbs;4;;;;0;;;17m
2022-09-20 16:39:37;"Week B Day 1";"Overhead Press (Barbell)";4;70;lbs;4;;;;0;;;17m
2022-09-20 16:39:37;"Week B Day 1";"Bent Over Row (Barbell)";1;70;lbs;4;;;;0;"";;17m
2022-09-20 16:39:37;"Week B Day 1";"Bent Over Row (Barbell)";2;70;lbs;4;;;;0;;;17m
2022-09-20 16:39:37;"Week B Day 1";"Bent Over Row (Barbell)";3;70;lbs;4;;;;0;;;17m
2022-09-20 16:39:37;"Week B Day 1";"Bent Over Row (Barbell)";4;70;lbs;4;;;;0;;;17m
2022-09-23 17:36:18;"Week B Day 2";"Bench Press (Barbell)";1;115;lbs;4;6;;;0;"";"";37m
2022-09-23 17:36:18;"Week B Day 2";"Bench Press (Barbell)";2;115;lbs;4;6;;;0;;;37m
2022-09-23 17:36:18;"Week B Day 2";"Bench Press (Barbell)";3;115;lbs;4;7;;;0;;;37m
2022-09-23 17:36:18;"Week B Day 2";"Bench Press (Barbell)";4;115;lbs;4;10;;;0;;;37m
2022-09-23 17:36:18;"Week B Day 2";"Squat (Barbell)";1;95;lbs;8;6.5;;;0;"";;37m
2022-09-23 17:36:18;"Week B Day 2";"Squat (Barbell)";2;95;lbs;8;6.5;;;0;;;37m
2022-09-23 17:36:18;"Week B Day 2";"Squat (Barbell)";3;115;lbs;8;7.5;;;0;;;37m
2022-09-23 17:36:18;"Week B Day 2";"Squat (Barbell)";4;115;lbs;8;8;;;0;;;37m
2022-09-23 17:36:18;"Week B Day 2";"Overhead Press (Barbell)";1;70;lbs;8;9;;;0;"";;37m
2022-09-23 17:36:18;"Week B Day 2";"Overhead Press (Barbell)";2;70;lbs;5;10;;;0;;;37m
2022-09-23 17:36:18;"Week B Day 2";"Overhead Press (Barbell)";3;60;lbs;5;9.5;;;0;;;37m
2022-09-23 17:36:18;"Week B Day 2";"Overhead Press (Barbell)";4;60;lbs;5;9;;;0;;;37m
2022-09-23 17:36:18;"Week B Day 2";"Chin Up (Assisted)";1;60;lbs;5;9.5;;;0;"Felt pain on left tricep on second set";;37m
2022-09-23 17:36:18;"Week B Day 2";"Chin Up (Assisted)";2;75;lbs;6;8;;;0;;;37m
2022-09-23 17:36:18;"Week B Day 2";"Chin Up (Assisted)";3;90;lbs;8;8.5;;;0;;;37m
2022-09-23 17:36:18;"Week B Day 2";"Chin Up (Assisted)";4;90;lbs;8;9;;;0;;;37m
2022-09-27 13:28:29;"Week A Day 1";"Bench Press (Barbell)";1;125;lbs;4;8;;;0;"";"";54m
2022-09-27 13:28:29;"Week A Day 1";"Bench Press (Barbell)";2;125;lbs;4;8.5;;;0;;;54m
2022-09-27 13:28:29;"Week A Day 1";"Bench Press (Barbell)";3;125;lbs;4;8.5;;;0;;;54m
2022-09-27 13:28:29;"Week A Day 1";"Bench Press (Barbell)";4;125;lbs;4;9;;;0;;;54m
2022-09-27 13:28:29;"Week A Day 1";"Squat (Barbell)";1;135;lbs;8;8.5;;;0;"";;54m
2022-09-27 13:28:29;"Week A Day 1";"Squat (Barbell)";2;135;lbs;8;8.5;;;0;;;54m
2022-09-27 13:28:29;"Week A Day 1";"Squat (Barbell)";3;135;lbs;8;8.5;;;0;;;54m
2022-09-27 13:28:29;"Week A Day 1";"Squat (Barbell)";4;135;lbs;8;9;;;0;;;54m
